invariant_id	obligation	layer	artifact	symbol	property
INT-043	Fully admitted input has a constructive model	Z3	formal/smt/interop_snapshot.smt2	A fully admitted candidate	contract_round_trip
INT-044	Exact 80-byte header and u32 payload refine words	Model	formal/model/exhaustive_interop.rs	HEADER_BYTES	contract_round_trip
INT-045	Canonical builder removes order and duplicates	Model	formal/model/exhaustive_interop.rs	canonical_snapshot	contract_insertion_order_and_duplicate_invariance
INT-046	Byte encoder preallocates exact output	Model	formal/model/exhaustive_interop.rs	fn encode	contract_unique_encoding
INT-047	Decoder checks before graph publication	Model	formal/model/exhaustive_interop.rs	fn decode	contract_length_index_and_trailing_rejection
INT-048	All CSR structural laws are checked	Model	formal/model/exhaustive_interop.rs	validate_snapshot_with_work	contract_length_index_and_trailing_rejection
INT-049	Digest invocation includes schema profile length payload	Model	formal/model/exhaustive_interop.rs	digest_invocation	contract_digest_domain_schema_and_payload_separation
INT-050	All graphs through three vertices are enumerated	Model	formal/model/exhaustive_interop.rs	assert_eq!(graph_count, 531)	contract_round_trip
INT-051	Every strict prefix is rejected	Model	formal/model/exhaustive_interop.rs	truncation_count	contract_length_index_and_trailing_rejection
INT-052	Two fixed golden vectors are exact	Model	formal/model/exhaustive_interop.rs	assert_golden_vectors	contract_unique_encoding
INT-053	Unknown schema and versions reject	Model	formal/model/exhaustive_interop.rs	assert_malformed_rejections	contract_exact_cross_version_policy
INT-054	Lawful renaming transports edges	Model	formal/model/exhaustive_interop.rs	renamed_edges	contract_lawful_renaming_equivariance
INT-055	Digest domain collisions are causally mutated	Model	formal/model/exhaustive_interop.rs	assert_digest_domains	contract_digest_domain_schema_and_payload_separation
INT-056	One hundred thousand vertices fit 64 KiB native stack	Model	formal/model/exhaustive_interop.rs	assert_deep_small_stack	contract_deep_codec_lifecycle_is_native_stack_independent
INT-057	Maximum v1 byte length is representable	Verus	formal/verus/interop_refinement.rs	maximum_v1_wire_length_fits_u64	contract_resource_limits_fail_before_publication
INT-058	Maximum v1 heap word count is representable	Verus	formal/verus/interop_refinement.rs	maximum_v1_heap_words_fit_u64	contract_deep_codec_lifecycle_is_native_stack_independent
INT-059	Successful admission implies every bound	Verus	formal/verus/interop_refinement.rs	admission_is_fail_closed	contract_resource_limits_fail_before_publication
INT-060	Cursor progress decreases remaining tape	Verus	formal/verus/interop_refinement.rs	decoder_cursor_step_is_bounded	contract_deep_codec_lifecycle_is_native_stack_independent
INT-061	Validation charge is linear	Verus	formal/verus/interop_refinement.rs	validation_work_is_linear	contract_deep_codec_lifecycle_is_native_stack_independent
INT-062	Every encoding includes a complete header	Verus	formal/verus/interop_refinement.rs	fixed_header_prevents_empty_encoding	contract_round_trip
INT-063	Stale digest never publishes required red	RequiredRed	tests/interop_contract_properties.rs	contract_stale_digest_rejection	contract_stale_digest_rejection
INT-064	Exact version policy is executable required red	RequiredRed	tests/interop_contract_properties.rs	contract_exact_cross_version_policy	contract_exact_cross_version_policy
INT-065	No unmodeled snapshot API is silently accepted	RequiredRed	tests/interop_contract_properties.rs	libvgraph_interop	contract_schema_rejection
INT-066	Native-depth growth causes the control-depth invariant to fail	TLC	formal/tla/InteropCodecMachine.tla	GrowNativeDepth	contract_deep_codec_lifecycle_is_native_stack_independent
INT-067	A published release is authorized only by the protected signer policy	TLC	formal/tla/ReleaseMachine.tla	PublishedUsesProtectedTrust	contract_release_publication_is_fail_closed
INT-068	A published tag resolves to the protected default-branch head	TLC	formal/tla/ReleaseMachine.tla	PublishedUsesProtectedHead	contract_release_publication_is_fail_closed
INT-069	A published release has passed and recorded every acceptance gate	TLC	formal/tla/ReleaseMachine.tla	PublishedHasPassedGates	contract_release_publication_is_fail_closed
INT-070	A release is drafted before any publication transition	TLC	formal/tla/ReleaseMachine.tla	PublishedFromDraft	contract_release_publication_is_fail_closed
INT-071	A published release has the exact package and complete evidence assets	TLC	formal/tla/ReleaseMachine.tla	PublishedHasCompleteAssets	contract_release_publication_is_fail_closed
INT-072	The registry artifact hash equals the verified package hash before publication	TLC	formal/tla/ReleaseMachine.tla	PublishedRegistryMatches	contract_release_publication_is_fail_closed
INT-073	One version can cross the publication transition at most once	TLC	formal/tla/ReleaseMachine.tla	AtMostOnePublication	contract_release_publication_is_fail_closed
INT-074	A rejected candidate can never become published	TLC	formal/tla/ReleaseMachine.tla	RejectedNeverPublishes	contract_release_publication_is_fail_closed
